Date,Number of arrivals
1991-01,27566
1991-02,27621
1991-03,25696
1991-04,21653
1991-05,21197
1991-06,21620
1991-07,25596
1991-08,28327
1991-09,29892
1991-10,28206
1991-11,28718
1991-12,44288
1992-01,29219
1992-02,29644
1992-03,32218
1992-04,29586
1992-05,22089
1992-06,28209
1992-07,33675
1992-08,25075
1992-09,32186
1992-10,27235
1992-11,29864
1992-12,49103
1993-01,29164
1993-02,29603
1993-03,32186
1993-04,24415
1993-05,19784
1993-06,24414
1993-07,27565
1993-08,27195
1993-09,34042
1993-10,37434
1993-11,35694
1993-12,48706
1994-01,31852
1994-02,30595
1994-03,34674
1994-04,27604
1994-05,22198
1994-06,26123
1994-07,28663
1994-08,27622
1994-09,40449
1994-10,29890
1994-11,28611
1994-12,52268
1995-01,33107
1995-02,31596
1995-03,38201
1995-04,36443
1995-05,23401
1995-06,25007
1995-07,30838
1995-08,28133
1995-09,40717
1995-10,30156
1995-11,31128
1995-12,53754
1996-01,35064
1996-02,35736
1996-03,39570
1996-04,38185
1996-05,24885
1996-06,31983
1996-07,31330
1996-08,31692
1996-09,41228
1996-10,35142
1996-11,36248
1996-12,58774
1997-01,36981
1997-02,36434
1997-03,41582
1997-04,33090
1997-05,27913
1997-06,30197
1997-07,32034
1997-08,33434
1997-09,41170
1997-10,34119
1997-11,35007
1997-12,54617
1998-01,39892
1998-02,41970
1998-03,41204
1998-04,46232
1998-05,31122
1998-06,31839
1998-07,40017
1998-08,37335
1998-09,46586
1998-10,40656
1998-11,43900
1998-12,61656
1999-01,41678
1999-02,41267
1999-03,46116
1999-04,44875
1999-05,32437
1999-06,32732
1999-07,41276
1999-08,40579
1999-09,49177
1999-10,42140
1999-11,44589
1999-12,69672
2000-01,46057
2000-02,49286
2000-03,51877
2000-04,41966
2000-05,33160
2000-06,34671
2000-07,44117
2000-08,45356
2000-09,51756
2000-10,46904
2000-11,48200
2000-12,78352
2001-01,53264
2001-02,51909
2001-03,58021
2001-04,56304
2001-05,39324
2001-06,43422
2001-07,49671
2001-08,55260
